column_name,data_type
ccmq__scores__ying,text
ccmqtotal,text
ccqmas,text
ccqmtotal,text
dampas,text
damptotal,text
demographic-ethnicity-ethnicity_paternal_others,text
demographic-gender-demographic_gender,text
demographic-nationality-participant_BMI_1,text
demographic-nationality-participant_blood_pressure_1,text
demographic-nationality-participant_heart_rate_1,text
demographic-nationality-participant_height_1,text
demographic-nationality-participant_temperature _1,text
demographic-nationality-participant_weight_1,text
demographic-residence-country_practice,text
demographic-residence-country_practice_or_train,text
demographic-residence-practice_outside_of_home,text
demographic-smoking-cigars_past_num_sticks_freq_100,text
demographic-smoking-ecig_past_num_sticks,text
demographic-smoking-ecig_past_num_sticks_others,text
demographic-smoking-htp_past_num_sticks,text
demographic-smoking-nctobacco_past_num_sticks_freq_100,text
demographic-smoking-nontobacco_past_num_sticks_freq,text
demographic-smoking-smoking_current_detail,text
demographic-smoking-smoking_current_num_years_smoked,text
demographic-smoking-smoking_history_years,text
demographic-smoking-smoking_past_8_sticks_one_year,text
demographic-smoking-smoking_past_8_sticks_one_year_IQOS,text
demographic-smoking-smoking_past_8_sticks_two_year,text
demographic-smoking-smoking_past_IQOS,text
demographic-smoking-smoking_past_IQOS_years,text
demographic-smoking-smoking_past_detail,text
demographic-smoking-smoking_past_detail_nctobacco,text
demographic-smoking-smoking_past_detail_nontobacco,text
demographic-smoking-smoking_past_detail_tobacco,text
demographic-smoking-smoking_past_num_sticks_others,text
demographic-smoking-smoking_past_num_years3,text
demographic-smoking-smoking_past_num_years_heatsticks,text
demographic-smoking-smoking_past_num_years_smoked,text
demographic-smoking-smoking_past_start_years,text
demographic-smoking-smoking_presence_Q4,text
demographic-smoking-smoking_presence_detail,text
demographic-smoking-smoking_presence_heated_tobacco,text
demographic-smoking-smoking_quit,text
demographic-smoking-smoking_quit_age,text
demographic-smoking-smoking_start_age,text
demographic-smoking-tobacco_past_num_sticks_freq_100,text
demographic-smoking-tobacco_product_used,text
demographic-smoking-tobaccopipe_past_num_sticks_freq_100,text
demographic-travel-demographic_travel_frequency,text
demographic-travel-demographic_travel_next_3_6_months,text
feel_Well_Good,text
feel_Well_Score,text
gpaq-vigorous_work-vigorous_intensity_work_presence_Q14.1,text
hads-anxiety-feeling_butterflies_stomach,text
hads-anxiety-feeling_premonition,text
hads-anxiety-feeling_restless,text
hads-anxiety-feeling_sudden_panic,text
hads-anxiety-feeling_tense,text
hads-anxiety-sitting_at_ease,text
hads-anxiety-worrying_thoughts,text
hads-depression-enjoying_leisure_media,text
hads-depression-enjoying_past_joy,text
hads-depression-feeling_cheerful,text
hads-depression-feeling_slowed_down,text
hads-depression-looking_forward_enjoyment,text
hads-depression-lost_interest_appearance,text
hads-depression-seeing_funny_sides,text
ibs-rome_iii-abdomen_bloating_distension_6m_presence,text
ibs-rome_iii-abdomen_pain_6m_presence,text
ibs-rome_iii-abdomen_pain_change_bm_less,text
ibs-rome_iii-abdomen_pain_change_bm_more,text
ibs-rome_iii-abdomen_pain_change_stool_harder,text
ibs-rome_iii-abdomen_pain_change_stool_looser,text
ibs-rome_iii-abdomen_pain_freq,text
ibs-rome_iii-abdomen_pain_impact_activities,text
ibs-rome_iii-abdomen_pain_mentrual,text
ibs-rome_iii-abdomen_pain_only,text
